pays;nom;Capitale;description;bons plans;prix de l'hébergement;coût de la vie;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;latitude;longitude;nb de jours conseillés
Chili;Santiago;oui;"Fondée par les conquistadors en 1541, Santiago est nichée entre la cordillère des Andes et la cordillère de la Costa. Après l’indépendance du Chili au début du 19ème siècle, Santiago devient la capitale du pays. En 1973 la junte militaire du général Pinochet prend le pouvoir et instaure une dictature jusqu’en 1990.
Santiago a perdu une grande partie de l’héritage architectural de l’époque coloniale. Cependant la ville n’est pas pour autant sans attraits. Découvrez les quartiers branchés du Barrio Bellas Artes ou du Barrio Lastarria, admirez la ville depuis Cerro San Cristóbal (voir photo) ou encore visitez le musée d’Art précolombien et de beaux hôtels particuliers.
Randonnée en montagne, ski dans la cordillère des  Andes, gastronomie ou encore vie nocturne animée (surtout les soirs de match de football) rythment la vie des Santiaguinos. Santiago est la capitale la plus sûre du continent sud-américain, la plus humaine, la moins chaotique et la plus accueillante. Vous ne perdrez pas votre temps à aller visiter Santiago !";"> Monter à Cerro San Cristóbal pour admirer la vue sur Santiago avec la chaîne de montagnes en arrière-plan.
> Aller boire un verre dans les quartiers branchés du Barrio Bellas Artes ou du Barrio Lastarria.
> Aller se balader dans l'immense parc Forestal.
> Aller voir la Plaza des Armas, dans le centre historique de Santiago.
> De juillet à septembre, aller skier sur les pentes de la cordillère des Andes.
> Astuce : Le taux de change sera plus avantageux à Santiago que dans le reste du pays. 
> Astuce : Sky airlines propose des tarifs en avion à peine plus chers que le bus.";14;19;3;3;1;1;1;1;1;1;1;1;1;3;-33.4378394;-70.6507532;
Chine;Hong Kong;;;"> De nuit, musarder sur le marché de Temple street où se côtoient vendeurs de souvenirs, cartomancienne, street food, chanteurs d'opéras cantonnais ...
> Monter au sommer du Pic Victoria pour une vue insaisissable sur la baie de Hong Kong.
> Se prendre pour une star en comparant ses traces de mains à celles des stars Hong Kongaise le long de l'avenue des stars.
> Se perdre dans les ruelles du vieux Hong Kong.
> Déguster un Dim Sum
> Flâner sur le front de mer de Tsim sha Tsui en regardant la silhouette de la ville se découper de l'autre côté de la baie.";15;29;3;3;3;2;0;0;0;0;0;2;3;3;22.286178;114.1566148;
Chine;Pekin;oui;"La région de Pékin est habitée depuis la préhistoire et des vestiges millénaires de civilisation subsistent. C’est à partir du 15eme siècle que la ville devient un centre stratégique et voit défiler les dynasties : Liao, Jin, Ming, et Qing.
Aujourd’hui Pékin, aussi appelée Beijing, est le centre politique et culturel de la Chine. Elle attire des touristes du monde entier grâce à ses jardins impériaux, ses palais, ses temples et ses musées qui exposent l’art raffiné de la civilisation chinoise. Cependant elle ne vit pas dans le passé : sa croissance économique spectaculaire entraine une expansion démographique très rapide et de nombreuses infrastructures modernes ont été construites. Cette augmentation du niveau de vie a connu un  boom en 2008 grâce aux gros investissements pour les Jeux Olympiques d’été. 
Malgré la forte pollution qui  assombrie le ciel, Pékin reste une ville valant le détour. Nul autre endroit en Chine ne vous exposera la vie et la culture chinoise de la préhistoire à nos jours.";"> Se balader sur la plus grande structure construite par l'homme, la Grande Muraille de Chine. Amener votre propre snack, les prix sont doublés sur la Muraille.
>  Flâner dans le marché nocturne de Temple Street où se cotoient vendeurs de souvenirs, chanteurs d'opéra, voyantes, street food ....
> Se perdre dans les Hutong, labyrinthe de petites ruelles avec habitations traditionnelles. 
> Explorer la cité interdite et se plonger dans la vie des empereurs des périodes Ming et Qing.
> Monter au sommet du Pic Victoria pour une vue insaisissable sur les grattes-ciel et le port.
> 3 fois par an, vivre des moments magiques avec un spectacle son et lumière en 3D  projetés sur le Centre culturel de Hong Kong (Pulse 3D light show)
";8;21;0;0;0;1;3;3;0;2;3;1;0;0;39.916427;116.3965726;
Chine;Shanghai;;;"> Boire un verre au Vue Bar pour une vue imprenable sur Shanghai
> Balader dans les jardins Yuyuan et se retrouver dans l'atmosphère de la dynastie Ming
> Découvrir un hobby millénaire et s'étonner devant l'enthousiasme des chinois pour une lutte opposants... 2 criquets (ou autres insectes). Tous  les matins rue Liuhekou.
> Se promener sur le Bund, célèbre promenade de Shanghai";10;27;1;1;1;2;3;2;2;2;2;3;1;1;31.2396935;121.4996185;
Colombie;Bogota;oui;"Perchée à 2640m d'altitude, Bogota est la 3ème plus haute capitale du monde ! Plus grande ville du pays, c'est également le centre politique, financier et économique du pays.
La région de Bogota a d'abord été habitée par des civilisations précolombiennes (on peut admirer leurs arts au musée de l'or). Puis elle a été conquise par les espagnols au 16ème siècle qui y fondèrent la première ville. Devenue indépendante au début du 19ème siècle, Bogota devient alors la capitale de la ""grande Colombie"" qui regroupait à l'époque l'Équateur, le Venezuela et la Colombie. S'en suit une grande période de guerre civile qui dura jusqu’à la fin du 20ème siècle.
Aujourd'hui Bogota revit. Le centre-ville a été assainit, c'est une capitale dynamique et très agréable à vivre. Il y a de nombreux musées, de très belles places et des églises à tous les coins de rues. Seul le climat (pluvieux toute l'année) freine encore les touristes.";"> Se promener dans le quartier de la Candelaria, là où est rassemblée la majeure partie des monuments anciens.
> S'instruire sur les émeraudes et leur extraction au musée (gratuit) qui leur est consacré. Aujourd'hui la Colombie produits 40% des émeraudes mondiales dont celles de Muzo, les plus belles émeraudes du monde.
> Faire un tour au musée de l'or (gratuit tous les dimanches) où 13000 œuvres sont présentées. Vous y apprendrez aussi les rites et coutumes de peuples précolombiens.
> Se régaler au plus grand marché de fruits et légumes de Bogota : Paloquemao. Encore loin des circuits touristiques, vous pourrez y goûter de nombreux fruits exotiques que nous n'avons pas chez nous (pitaya, granadilla, lullo ...)
> Acheter de l'artisanat local (et non pas made in china), tous les dimanches lors du marché d'Usaquen.
> Se promener sur la Carrera 7. Cette rue piétonne est le lieu où se produisent de nombreux artistes de rue : danseurs de tango, caricaturistes, peintres, mimes...
> Le dimanche faire du vélo avec de très nombreux locaux sur la ciclovia, routes aménagées en pistes cyclables pour l'occasion.
> Visiter l'un des nombreux musées gratuits de la ville : musée de la police, musée de la monnaie ou encore musée de Botero.
> Monter en téléphérique à Monserrate afin d'avoir une superbe vue sur la ville.";10;11;3;3;2;1;2;2;2;2;3;2;2;2;4.6682475;-74.1011817;3
Colombie;Medellin;;"Chef-lieu de la région d'Antioquia, Medellin est la deuxième plus grande ville de Colombie. Après la conquête de cette région par les espagnols, ce sont des colons juifs et basques qui s'y installèrent au début du 17ème siècle. Dans les années 80, Medellin devint le chef-lieu du célèbre baron de la drogue Pablo Escobar. Elle acquiert à cette époque le titre de ville la plus dangereuse du monde.
Aujourd'hui Medellin sort de l'ombre. Après un grand ménage pour assainir la ville et de grands projets urbains, le centre a fait peau neuve. Il attire désormais de plus en plus de visiteurs. Deuxième centre économique de Colombie, c'est désormais une ville moderne où il fait bon vivre.";"> Apprendre la manière dont la ville s'est transformée lors du free Walking tour. En 4 h vous arpenterez 80% des centres d'intérêts de la ville.
> Se balader au Parc Arvi. En hauteur sur une des collines qui entourent la ville. L'accès s'y fait en téléphérique et vous donnera un magnifique point de vue sur Medellin. De plus, il est très agréable de s'y promener et de nombreuses activités y sont proposées.
> Découvrir le charmant village de Guatapé. A 2h de bus de là, ces façades colorées et son ambiance tranquille en font un des endroits les plus mignons de la Colombie.
> Admirer les statues de l'artiste Botero sur la place du même nom. Son créneau : la disproportion. C'est intriguant et chacune de ses statues valent quelques 2 millions d'euros !
> Visiter la comuna 13. Reconversion d'un quartier dangereux où il fait maintenant bon s'y balader. Ce barrio est l'un des plus forts symboles de la transfiguration de la ville.";8;10;2;2;2;2;1;1;2;2;2;2;2;2;6.251484;-75.567671;3
Colombie;Salento et la Vallée de Cocora;;;> Se balader au milieu des palmiers de la vallée de Cocora;8;10;3;2;1;1;1;2;2;2;2;3;3;3;4.637562;-75.569756;2
Costa Rica;San Jose;oui;"Située à 1200 mètres d’altitude et entourée de montagnes et de volcans, San José a été fondée en 1738 et devient la capitale du Costa Rica en 1823. La ville a été bâtie grâce au commerce du café dont les plantations entourent toujours la ville.
San José a conservé peu de bâtiments coloniaux, mais le théâtre national construit en 1890 vaut le détour. Le musée du Jade, le musée de l’or ou encore le musée national vous en apprendront plus sur l’histoire de la civilisation costaricienne.
Bien qu'on y trouve musées, restos et sorties nocturnes, San José est souvent considérée comme une étape par les touristes plus attirés par les richesses naturelles du Costa Rica. Allez faire un tour au marché central et vous comprendrez pourquoi San José gagne à être connue. Le charme de la ville et l’accueil des habitants (les Ticos) y sont très agréables.";"> Se rendre à la Esmeralda vers 23 heures et profiter de la musique jouée par les trios ou les mariachis qui attendent les clients.
> Aller au Jazz Café, le meilleur club de jazz de la capitale.
> Aller visiter le musée du Jade, le musée de l'or et le musée national.
> Préparer une randonnée au Parc National Rincon de la Vieja.
> Découvrir le rafting.
> Jouer dans l'un des casinos";10;25;3;3;3;3;0;0;0;0;0;0;3;3;9.9358449;-84.1037328;
Croatie;Dubrovnik;;;"> Arpenter les rues de la vielle ville pour son ambiance médiévale
> Visiter l'arboretum ainsi que le fort Fort Lovrijenac et rejouer les scènes de Game of Throne (le site représente Port Réal)
> Aller boire un verre et prendre un bain au Buza Bar";23;44;1;1;1;3;3;3;3;3;3;2;0;1;42.6414002;18.1084066;
Croatie;Zagreb;oui;;"> Flâner le dimanche matin sur la brocante sur la place Britanski trg.
> Découvrir la ville en vélo.
> S'arréter à la place des fleurs pour boire un café et manger un Strukli.
> Déguster la cuisine traditionnelle telle que la Kulen, le janjetina ou le délicieux Zagrebacki odrezak.
> Monter au sommet de la tour Lotrscak pour une vision 360° de la ville. On tire un coup de canon tous les midis depuis plus de 100 ans depuis cet endroit.
";10;22;0;1;1;1;2;3;3;3;3;2;1;0;45.8082042;15.9670908;
Cuba;La Havane;oui;;"> Siroter un Cuba libre ou un mojito sur une terasse
> Si l'on est amateur, fumer un habano (authentique cigare cubain), roulé à la main exclusivement par des femmes
> Déguster un congri, plat national cubain.
> Se rendre au célébrissime cabaret Tropicana ou au café Habana.
> Pratiquer plongée sous-marine et sports nautiques au Marina Hemingway.
> Flâner sur le Malécon.";22;14;3;3;3;3;2;2;2;2;2;2;3;3;23.1420513;-82.3765157;
Danemark;Copenhague;oui;;"> Vivre l'ambiance joyeuse et débridée du quartier de Nyhavn.
> Admirer la collection d'oeuvre de Gaughin récolter par le fils du fondateur de la brasserie Carlsberg.
> Visiter la ville utopique et alternative de Christiana, pleine de couleurs.
> Aller saluer la Petite Sirène, seule sur son rocher";24;46;0;0;0;1;1;3;3;3;3;1;1;0;55.6813545;12.575494;
Égypte;Caire;oui;Les origines du Caire remontent au 4ème siècle, avec la fondation par les romains d'une citadelle forteresse nommée Babylone (encore visible dans la ville).  ;"> L'immanquable: visiter les pyramides, dernières des 7 merveilles encore debout. Y aller tôt pour avoir l'occasion de voir l'intérieur. Les billets sont limités. 
> Se promener dans le quartier Khan El Khallili où l'on peut fumer la chicha.
> Se sentir tout petit face au colosse de Ramsès 2, statue couchée inachevée de 10 mètres de long.
> En apprendre plus sur la vie des anciens égyptiens en découvrant le village des égyptiens.
> Longer les bords du Nil et y admirer les couchers de soleil.
> Se mêler à la foule des souks et des bazars.
> Bien evidemment visiter les pyramides, dernières des 7 merveilles encore debout. Y aller tôt pour avoir l'occasion de voir l'intérieur. Les billets sont limités. ";7;17;1;1;3;3;3;2;1;2;3;3;3;2;30.0448978;31.215365;
Émirats Arabes Unis;Abou Dabi;oui;;"> Découvrir le mode de vie nomade sur la réplique d'un camp Bedouin à l'Heritage village (près du Marina Mall).
> Essayer de nouvelles saveurs avec un capuccino au lait de chameau ou un burger de chameau au Emirates Palace.
> Visiter l'impressionante Mosquée Cheikh Zayed et sa bibliothèque (ouverte au non musulman, visite guide possible).
> Pour les passionés de rapace, faire un tour à l'hôpital des Faucons où des visites sont organisées.
> Etre impresionné par la dextérité des femmes dans l'art de la vannerie, du tissage et de la broderie au Woman Craft center (parfait pour acheter les cadeaux).

";36;41;3;3;3;3;2;1;0;0;1;2;3;3;24.412481;54.475544;
Émirats Arabes Unis;Dubaï;non;"Située sur le golfe persique, Dubaï est restée de longs siècles un simple petit bourg de pêcheurs vivants de la culture de perles. C’est grâce à la découverte de richesses pétrolières dans ses sous-sols que Dubaï va connaitre une expansion spectaculaire qui en fait aujourd’hui la ville la plus connues des Emirats Arabes (sans en être la capitale).
Aujourd’hui, l’émirat a bien entamé sa transition économique et mise fortement sur le tourisme afin d’être moins dépendant du pétrole. Dubaï incarne le nouveau ""rêve arabe"" où tout est possible : skier en plein milieu du désert, dormir dans un hôtel sous-marin, construire un archipel artificiel qui reproduit la carte du monde… la seule limite est l’imagination. 
Ville dynamique, Dubaï s’inscrit comme une destination phare du tourisme mondial. Nous vous conseillons 3 jours pour voir les incontournables de cette ville surprenante. ";"> Affronter le vertige depuis la plateforme du Burj-Al-Arab, plus haut batiment au monde, pour bénéficier d'une superbe vue sur Dubaï.
> Se plonger dans le côté plus authentique de la ville avec un tour en abra pour rejoindre la vielle ville.
> S'étonner devant l'immensité du Dubaï mall (avec un énorme aquarium à l'intérieur).
> En prendre plein les yeux au Gold Souk qui présente non seulement de l'or mais aussi du platine et des diamands. L'or, de bonne qualité, est peu cher (ne pas hésiter à négocier).
> Pique-niquer dans l'un des nombreux parc de la ville.
> Admirer le coucher de soleil sur les dunes de sables, juste à l'extérieur de la ville.
> Profiter du spectacle gratuit des plus hautes fontaines du monde sur le lac Burj Khalifa. Son et lumières toutes les 30 minutes entre 18h et 22h.
> En apprendre plus sur l'histoire musulman en se joignant à une visite guidée de la Mosquée de Jumeirah.
";32;40;3;3;3;3;2;1;0;0;1;2;3;3;25.141034;55.185620;
Espagne;Barcelone;;"Capitale d’une province longtemps indépendante, la Catalogne, Barcelone possède un patrimoine culturel différent du reste de l’Espagne. Située entre collines et plages, c’est la plus flamboyante des villes espagnoles. Le cœur de la ville est composé de petites ruelles et de placettes obscures lui donnant un charme certain. 
Des bâtiments plus modernes se sont développés à la périphérie du quartier médiéval, dont un grand nombre sont nés de l’imagination d’Antoni Gaudí. La Sagrada Familia, toujours inachevée, en est l’exemple le plus connu.
Son climat, sa gastronomie, sa culture et sa mythique équipe de football en font une ville aux multiples attraits. Mais il faut attendre la nuit pour découvrir pourquoi Barcelone est plébiscitée par la jeunesse européenne.";"> S'attabler dans un bar à tapas au marché de la Boqueria
> Profiter de l'animation du quartier des Ramblas
> Admirer les jeux d'éclairage et de jets d'eaux des fontaines de Montjuic 
> Assister à une course de taureaux
> Si vous n'êtes pas pudique, rendez-vous à la plage nudiste de Mar Bella
> S'immerger dans l'ambiance électrique d' un match de football de la fameuse équipe de Barcelone";12;42;2;2;3;3;3;3;3;3;3;3;3;2;41.4031105;2.1762023;
Espagne;Madrid;oui;;"> Savourer des tapas dans l'un des bars de la capitale.
> Se rendre le dimanche matin au quartier ""la Latina"" pour chiner divers objets sur le marché du Rastro.
> Sortir le 31 décembre à la Puerta del Sol pour fêter au son de cloche le Nouvel An.
> Passer à la ""Casa del Pueblo"" célèbre pour le flamenco.";15;38;1;1;1;1;1;3;3;3;3;2;1;1;40.413888;-3.6930927;
Espagne;Valence;;;;14;25;1;1;1;2;3;3;3;3;3;3;2;1;39.4563455;-0.3535052;
États-Unis;Boston;;;"> Se promener sur le campus de Harvard (à défaut d'y avoir fait ses études...).
> Voir les principaux lieux historique de la ville par soi-même en suivant la ""freedom trail"", ligne de 4km en brique rouge sur le sol pour vous guider à travers la révolution américaine. Une carte avec des explications est disponible au bureau du tourisme pour quelques dollars.
> Se rassasier pour un prix raisonnable au Quincy Market.
> Se laisser guider dans la magnifique bibliothèque de la ville.
> En apprendre plus sur les étoiles les mercredis soirs au Coit Observatory (gratuit)
> Flâner dans Beacon Hill pour le charme de ce quartier aux maisons victoriennes.
> Pensez à prendre un city pass si vous comptez cumulez les visites payantes. Elle est rentabilisé au bout de la 3ème entrée.";34;44;0;0;0;1;1;3;3;3;3;1;1;0;42.354411;-71.0667946;
États-Unis;Grand Canyon;;;;21;15;0;0;0;0;1;2;3;2;1;0;0;0;36.0659739;-112.1184019;
États-Unis;Las Vegas;;;"> Admirer le spectacle aquatique, musical et lumineux de 8 minutes sur les fontaines du fameux Bellagio.  Toutes les 30 minutes, on voux conseille d'arriver au moins 15 minutes en avance.
> Se promener dans un gigantesque jardin botanique, en plein coeur du désert au Bellagio Conservatory and Botanical Gardens, ouvert 7/7, 24h/24 et gratuit.
> Se régaler avec le Craving's buffet du Mirage, un dessert à la Sugar Factory ou encore un steak au Carnevino (parmi les meilleurs grills du monde)
> Pour les amateurs d'art, arrétez-vous à la Gallery of fine art pour y contempler des Picasso, Degas et autres.
> En prendre plein les yeux avec la Fremont street expérience et son écran géant de 460 mètre.
> Se promener sur la Strip, l'artère principale de la ville et y contempler les très luxueux hotels.
> Faire le tour du monde en visitant la ville : entre la réplique de la tour eiffel, des pmyramides, de Venise ... il y a de quoi voyager.
> Faire une excursion pour voir le très célèbre grand canyon, situé non loin de là (version US).";12;43;2;3;3;2;1;1;0;0;1;3;3;3;36.1122667;-115.1782286;
États-Unis;Los Angeles;;;> Se promener près des Stars (ou presque) sur le Walk of Fame, et comparer vos empreintes de mains avec les leurs au théatre chinois TCL.;28;39;1;1;1;1;3;3;3;3;3;3;1;1;34.0563901;-118.2499271;
États-Unis;Miami;;;"> Découvrir la faune (alligators, lamantins, ...) et flore si particulières des everglades.
> Se dépayser en flânant dans la little Havana.
> Profiter de South Beach, son sable chaud, sa mer azur... et ses postes de secours, chacun unique et différend.
> Prendre la route des Keys Island, qui relient 1000 îles et îlots... impressionant et une attraction en soit.
> S'immerger dans le côté branché de la ville, le soir sur Ocean drive.
> Participer à un cours de yoga (gratuit) au bord de l'eau pour un moment relax.
> Si vous êtes du genre ""fan des stars"", un tour de bateau pour voir les villas hors de prix des stars mondiales comme Shakira.";25;46;3;3;3;3;2;2;2;2;0;0;3;3;25.7872534;-80.1958926;
États-Unis;New York;;"Découverte en 1524 par le navigateur italien Giovanni da Verrazzano, les premiers colons Néerlandais s’y installèrent en 1624 et pour former la colonie de la ""Nouvelle-Amsterdam"". Conquise en 1664 par les Anglais, la ville prend le nom de New York. Place stratégique dans la guerre d'indépendance américaine (1775 -1783) la ville devint une métropole mondiale au début du XXème siècle.
Porte d’entrée des Etas-Unis depuis 1820, la ""Big Apple"" est très cosmopolite. Davantage internationale qu’américaine, chaque communauté se concentre dans un endroit de la ville : Chinatown, Little Italy ou encore Harlem en sont toujours de bons exemples.
Plébiscitée par les voyageurs du monde entier, il y a énormément de choses à voir à New York. Statue de la liberté, Empire State Building, pont de Brooklyn (voir photo), Central Park ou encore Times Square, impossible de s’ennuyer à New York !";"> Visiter l'Empire State Building de nuit (il ferme à 2h du matin). Avantages: éviter l'interminable file d'attente et avoir une vue splendide de NY de nuit.
> Assister à une messe gospel dans Harlem pour ressentir la joie et la ferveur des fidèles. Nous conseillons Convent Avenue Baptist Church ou Mother Zion Church.
> Pour le shopping, direction l'emblématique Macy's. 12 étages, 1 hectare de rayonnage ... Astuce: présentez-vous au Visitor center avec votre ID pour bénéficier des 10% de réduction accordés aux touristes.
> Pique-niquer et se balader dans Central Park: vélo, bateau, zoo, jardins aménagés, chateau ... le parc regorge de choses à faire et à voir.
> De mai à septembre, aller au Bryant Park: cours de yoga, de danse, d'escrime, festival du film ... de nombreuses activités y sont proposées gratuitement (et le WIFI).
> En prendre plein les yeux en allant à Time's Square le soir et être impressionné par l'activité incessante de l'endroit.";31;42;0;0;0;1;3;3;3;3;3;1;0;0;40.7590453;-73.9862683;
États-Unis;Nouvelle Orleans;;"Fondée en 1718 par des colons français dans le delta du Mississippi, la ville a dès le début la réputation d'une ville libre et joyeuse, avec ses fêtes et ses bonnes tables. Cédé à l’empire Espagnol en 1762, puis récupérer par la France en 1800, la ville est finalement vendue aux  États-Unis en 1803 par Napoléon Bonaparte.
La Nouvelle-Orléans est l'un des joyaux des États-Unis, elle a gardé son architecture coloniale dans le quartier Français créole du Vieux Carré, célèbre pour ses balcons en fer forgé. La ville, est également connue pour être le berceau du jazz, les trompettes swinguent encore dans les rues autour de Bourbon Street.
";"> Goûter un Gumbo (soupe épaisse à l'écrevisse) au marché pour quelques dollars.
> Déambuler dans le vieux carré, quartier le plus emblématique de la ville.
> S'attabler au ""Café du monde"" pour tester leur fameux beignet.
> Embarquer sur un steamboat pour une croisière de 2h sur le Mississipi.
> S'installer au ""Spotted Cat"" pour un concert de musique jazz ou country (entrée gratuite).
> Louer une voiture pour se rendre à la plantation Houmas House, et se visiter avec un guide en tenue d'époque.

";22;33;1;2;2;2;2;2;2;2;2;3;3;1;29.9619947;-90.0623861;
États-Unis;Phoenix;;;;29;26;1;1;1;3;3;0;0;0;1;3;1;1;33.448112;-112.096102;
États-Unis;San Francisco;;"Petite mission Espagnole bâtie en 1776, San Francisco prend de l’ampleur avec les vagues migratoires successives : européenne pendant la ruée vers l’or, asiatique avec la guerre de l’opium puis juive pendant la seconde guerre mondiale. De ce passé, la ville garde une grande ouverture d’esprit.
San Francisco est célèbre à bien des égards : foyer de prestigieuses universités telles que Stanford ou Berkeley, elle est aussi le siège de la Sillicone Valley et de ses entreprises de hautes technologies mondialement connues comme Apple, Facebook ou Google. D’un point de vue touristique, tout le monde connait sa prison inviolable d’Alcatraz, son célèbre Golden Bridge, son quartier gay ou encore le charme de ses ""cable cars"" et de ses maisons victoriennes.
Cosmopolite, avec un climat doux et 1001 diverses attractions, San Francisco ne peut que vous enchanter. La vie y est simple, les inhibitions inutiles : 4 jours nous semble un minimum pour  commencer à saisir sa diversité et sa richesse.";"> Visiter la fameuse prison d'Alcatraz. Pensez à emporter un pique-nique afin de pouvoir vous installer tranquillement sur les tables prévues à cet effet un fois là-bas.
> Passer la journée au California Institute of Science. Entre la forêt tropicale, le simulateur de tremblement de terre, le cinéma ... il y a de quoi s'occuper et apprendre.
> Admirer une vision panoramique de la ville depuis les Twin Peaks.
> Pique-niquer au Palace of Fine art, un grand parc avec un très beau théâtre construit pour l'exposition universelle de 1910.
> Prendre un des ""Cable car"" (tram), les derniers opérationnels au monde et qui, malgré leur lenteur, font partie du charme de la ville.
> Aller à Sausalito, mignonne petite ville avec une magnifique vue sur SF. De plus, cela vous donnera l'occasion de passer sur le Golden Bridge ! Immanquable";35;46;1;1;1;1;3;3;3;3;3;3;3;1;37.7685303;-122.4753509;
États-Unis;Vallée de la Mort;;;;16;12;1;1;3;3;1;0;0;0;0;3;1;1;36.4821297;-117.1297566;
États-Unis;Washington;oui;;"> Laissez vous charmer par une représentation de l'orchestre symphonique national des États-Unis au centre Kennedy.
> Visiter la fameuse maison blanche. Attention: arriver 15 minutes en avance, avoir sur soi son passeport et interdiction aux sacs, appareils photos, bouteille d'eau... 
> Voguer à bord d'un bateau sur la rivière Potomac en appréciant la vue.
> Profiter de la verdure du parc Lafayette.
> Déambuler dans les rues de Chinatown.
> Contempler depuis le pont Théodore Roosevelt la ville de Washington qui s'illumine au crépuscule";27;46;0;0;1;1;3;3;2;3;3;1;1;0;38.8976972;-77.0367739;
États-Unis;Yosemite Park;;;"> la vallée de Yosemite
> la forêt de séquoias géants de Mariposa
> Wawona, le centre historique de Yosemite
> la route vers le col de Tioga Pass
> les prairies de Tuolumne
> Glacier Point qui offre un point de vue imprenable sur le parc
> le rocher du Half Dome
> la falaise El Capitan
> Crane Flat
> les chutes d'eau de Yosemite, Bridalveil, Vernal, Nevada
> lacs : Tenaya Lake, Mirror Lake, Hetch Hetchy Reservoir
> activités : randonnée à pied, à vélo ou à cheval, escalade, rafting";28;12;0;0;1;1;2;2;3;3;2;1;1;0;37.747143;-119.574425;
Finlande;Helsinki;;;"> Flâner sur l'esplanade par une nuit blanche de juin.
> Garder les yeux visser au ciel dans l'espoir d'apercevoir une aurore boréale (entre février et avril)
> Prendre une pause au café Fazer sans oublier de goûter leurs délicieux chocolats.";29;55;0;0;0;0;1;1;3;3;1;1;0;0;60.1683675;24.9598481;
France;Bordeaux;;;"> Faire un arrêt dans un magasin Baillardran pour déguster un véritable canelé
> Se faire plaisir sans se ruiner en faisant un tour dans un des magasins d'usine de grandes marques, le long des quais
> A vélo, faire le tour des vignobles du Pessac Leognan pour découvrir les meilleurs vins de la région (Pape Clément, Haut Bailly ...).
> Traverser la plus grande place d'Europe, la place des Quiconces et observer la fontaine des Girondins
";23;31;2;2;2;2;2;3;3;3;3;2;2;2;44.8415719;-0.570082;
France;Lyon;;"Fondée par les Romains au 1er siècle, Lyon est situé au carrefour du Rhône et de la Saône. Longtemps ""capitale des Gaules"" (on l'appelle encore parfois ainsi aujourd'hui), Lyon a été un haut lieu d'échanges et de commerce pendant plusieurs siècles.
Commencez par monter sur les hauteurs de la ville pour visiter la basilique de Fourviere. La grande nef principale est somptueuse grâce aux vitraux et aux nombreuses mosaïques murales. Une fois la visite terminée et la vue sur Lyon admirée, descendez les nombreuses marches et vous arriverez dans le ""vieux Lyon"". Ce quartier regorge de ""Traboules"" et de ruelles aux accents moyenâgeux. Enfin, faites une halte à la cathédrale de Lyon, puis raversez la Saône pour aller sur la presqu'île, direction l'immense place Bellecour et la magnifique place des Terreaux.
Envie de vivre comme un Lyonnais le temps d'une après-midi ? Prenez une trottinette (les Lyonnais se déplacent beaucoup comme ça) et allez vous balader au Parc de la Tête d'Or avec son zoo gratuit. Sortez du parc côté sud-ouest et descendez les quais du Rhône pour arriver aux péniches. Prenez un verre sur une des péniches, profitez du soleil, et vous serez un vrai Lyonnais !";"> Monter au sommet de la colline de Fourvière pour visiter la basilique et admirer la vue superbe sur la ville.
> Découvrir le théâtre romain de Fourvière, assez peu connu mais bien conservé.
> Dîner dans un des fameux bouchon lyonnais et déguster une spécialité (graton, quenelle, abats, tarte à la praline ...).
> Pour les gourmands, se rendre aux Halles de Lyon Paul Bocuse pour éveiller ses sens
> Se balader au parc de la tête d'or et y pique-niquer près du lac par beau temps
> Savourer une glace chez ""Nardone"", meilleur glacier artisanal de la région.
> Venir le weekend du 8 décembre pour la fête des lumières où les façades des monuments se parent de jeux de lumières et de musique.
> Se relaxer en buvant un verre sur une péniche sur les berges du Rhône. Happy hour de 17h à 20h.
> Déambuler dans la rue pavée Du Boeuf, et son ambiance médiévale. L'entrée des traboules y sera indiquée
> Monter les pentes du quartier de la Croix Rousse en partant de la place des Terreaux.";20;28;1;2;2;2;2;3;3;3;3;2;2;2;45.7635056;4.8492387;
France;Nice;;;;18;43;2;2;2;2;3;3;3;3;3;3;2;2;43.6950824;7.2576875;
France;Paris;oui;"A l’origine une petite ville gallo-romaine appelé Lutèce, la ville s’est développé jusqu’à devenir la capitale de la France. Berceau de la révolution Française, c’est ici que sont nés les idées des lumières, notamment les droits de l’Homme. 
De nombreux musées et monuments mondialement connus se trouvent à Paris : le musée Louvre composé de plus de 460 000 œuvres, Notre Dame de Paris, la Tour Eiffel ou encore le chateau de Versailles.
De Victor Hugo à Woody Allen, Paris, la ville lumière, a inspirés nombres de poètes, peintres, romancier et cinéastes du monde entier. Les bords de Seine, les terrasses de cafés, les bistrots et ses nombreux parcs font de Paris une ville où il fait bon flâner en amoureux.";"> Faire une promenade en bateau-mouche de nuit pour profiter des illuminations sur les façades.
> Pique-niquer sur le champs de Mars
> Diner dans le quartier latin pour profiter de l'animation
> Assister à l'un des multiples spectacles et concerts parisiens.
> ASTUCE: réserver en ligne (ceetiz) son billet coupe-file pour la tour eiffel afin d'économiser 1h d'attente";23;51;2;2;2;2;2;3;3;3;3;2;2;2;48.8580101;2.2946583;
